session_id,startTime,endTime,ProductList,gender
u13716,08/12/14 13:33,08/12/14 13:33,A00004/B00013/C00083/D22322/,male
u13756,20/12/14 19:58,20/12/14 19:59,A00003/B00022/C00036/D27803/,female
u22367,20/12/14 21:15,20/12/14 21:16,A00002/B00003/C00006/D30329/;A00002/B00003/C00006/D34372/,male
u18730,14/12/14 16:15,14/12/14 16:15,A00002/B00001/C00059/D03308/,female
u10829,19/12/14 12:38,19/12/14 12:39,A00002/B00003/C00079/D28653/,female
u19908,12/12/14 20:17,12/12/14 20:19,A00002/B00010/C00095/D25319/;A00002/B00010/C00095/D15819/;A00002/B00010/C00095/D25321/,female
u19899,29/11/14 21:57,29/11/14 21:57,A00001/B00031/C00091/D16015/,male
u23233,18/12/14 15:56,18/12/14 15:56,A00002/B00003/C00046/D31170/,female
u17193,22/11/14 11:27,22/11/14 11:27,A00001/B00015/C00284/D09455/,female
u11953,01/12/14 16:15,01/12/14 16:15,A00001/B00009/C00038/D00645/,male
u16752,21/11/14 14:38,21/11/14 14:38,A00002/B00004/C00012/D08575/,female
u23430,19/12/14 19:05,19/12/14 19:12,A00001/B00001/C00020/D33350/;A00001/B00001/C00020/D33352/;A00001/B00001/C00430/D33346/;A00001/B00001/C00019/D33345/;A00001/B00001/C00019/D33348/,male
u24752,20/12/14 0:01,20/12/14 0:03,A00001/B00015/C00098/D33595/;A00001/B00015/C00098/D33596/;A00001/B00015/C00098/D24164/,male
u18178,17/12/14 12:41,17/12/14 12:41,A00002/B00007/C00016/D15707/,female
u18757,26/11/14 14:13,26/11/14 14:13,A00002/B00004/C00018/D12742/,female
u17311,17/12/14 15:23,17/12/14 15:23,A00002/B00003/C00005/D30671/,male
u21405,08/12/14 0:40,08/12/14 0:40,A00002/B00003/C00005/D21690/,female
u10039,09/12/14 23:15,09/12/14 23:15,A00002/B00001/C00010/D18416/,female
u18209,27/11/14 11:46,27/11/14 11:47,A00003/B00012/C00051/D00685/,female
u14440,16/11/14 11:06,16/11/14 11:06,A00001/B00004/C00066/D03817/,male
u24477,20/12/14 10:30,20/12/14 10:32,A00002/B00016/C00131/D33795/;A00002/B00016/C00131/D33796/;A00002/B00016/C00131/D33797/,male
u17237,26/11/14 11:51,26/11/14 11:51,A00002/B00002/C00009/D09591/,female
u13106,13/12/14 17:58,13/12/14 18:02,A00002/B00016/C00044/D16797/;A00002/B00016/C00044/D26309/;A00002/B00007/C00027/D26310/;A00002/B00007/C00027/D26311/;A00002/B00006/C00030/D26312/,female
u18601,02/12/14 9:02,02/12/14 9:02,A00002/B00001/C00059/D06170/,female
u20387,15/12/14 21:06,15/12/14 21:07,A00002/B00003/C00046/D28065/,female
u14532,26/11/14 20:20,26/11/14 20:20,A00001/B00009/C00028/D13350/,female
u23033,12/12/14 9:58,12/12/14 9:59,A00002/B00007/C00016/D24536/;A00002/B00007/C00016/D00049/,female
u16369,19/11/14 15:36,19/11/14 15:38,A00002/B00005/C00056/D07782/;A00002/B00005/C00067/D07785/,female
u17691,23/11/14 18:03,23/11/14 18:06,A00002/B00010/C00192/D10698/;A00002/B00010/C00192/D10714/;A00002/B00010/C00192/D10703/,female
u13916,15/11/14 13:47,15/11/14 13:48,A00001/B00004/C00196/D02718/;A00001/B00004/C00196/D02750/,male
u17524,08/12/14 8:26,08/12/14 8:26,A00003/B00021/C00064/D21797/,female
u20118,06/12/14 0:29,06/12/14 0:29,A00001/B00031/C00091/D01848/,male
u20496,01/12/14 23:14,01/12/14 23:16,A00002/B00003/C00006/D17403/;A00002/B00001/C00010/D17404/,female
u24818,20/12/14 19:33,20/12/14 19:33,A00001/B00001/C00019/D03824/,male
u24520,18/12/14 14:56,18/12/14 14:56,A00001/B00015/C00103/D26268/,male
u20930,05/12/14 15:35,09/12/14 10:38,A00002/B00001/C00010/D18354/;A00003/B00012/C00051/D18579/;A00002/B00005/C00056/D23355/,female
u19579,16/12/14 8:19,16/12/14 8:19,A00002/B00003/C00006/D28858/,female
u24036,16/12/14 10:56,16/12/14 11:00,A00003/B00012/C00048/D14915/;A00003/B00022/C00048/D27981/;A00003/B00012/C00048/D29054/,female
u13696,19/12/14 11:54,19/12/14 12:01,A00002/B00001/C00123/D21506/;A00002/B00016/C00135/D30973/;A00002/B00001/C00123/D29443/;A00002/B00001/C00123/D32836/;A00002/B00001/C00123/D27026/;A00002/B00001/C00123/D32838/;A00002/B00001/C00053/D32841/,female
u20779,22/12/14 18:37,22/12/14 18:37,A00003/B00026/C00238/D35676/,male
u15174,16/12/14 10:18,16/12/14 10:18,A00002/B00002/C00009/D21101/,female
u19562,28/11/14 12:33,28/11/14 12:33,A00002/B00003/C00046/D14636/,female
u18364,25/11/14 14:49,01/12/14 11:35,A00002/B00004/C00102/D11613/;A00002/B00001/C00053/D00172/,female
u18144,25/11/14 10:38,25/11/14 10:50,A00002/B00003/C00079/D11312/;A00002/B00003/C00079/D11318/;A00002/B00003/C00079/D11323/;A00002/B00001/C00059/D04550/;A00002/B00003/C00005/D02537/,female
u13611,15/11/14 9:12,18/11/14 14:16,A00003/B00021/C00055/D02305/;A00002/B00001/C00053/D01058/,female
u20852,05/12/14 12:13,05/12/14 12:13,A00002/B00002/C00002/D02833/,female
u11756,26/11/14 15:45,26/11/14 15:47,A00002/B00002/C00002/D12976/;A00002/B00002/C00002/D00205/,female
u12190,26/11/14 10:47,26/11/14 10:48,A00002/B00001/C00123/D03846/,female
u23652,14/12/14 13:56,14/12/14 13:56,A00003/B00012/C00074/D25748/,female
u11115,07/12/14 14:40,07/12/14 14:40,A00002/B00001/C00059/D20989/,female
u18738,26/11/14 13:43,13/12/14 2:03,A00001/B00027/C00224/D12693/;A00001/B00031/C00063/D25573/,male
u17535,23/11/14 10:30,23/11/14 10:30,A00005/B00019/C00207/D10410/,female
u24699,19/12/14 15:21,19/12/14 15:21,A00003/B00022/C00074/D31723/,male
u15083,09/12/14 13:36,09/12/14 13:36,A00003/B00022/C00032/D23649/,female
u11177,26/11/14 13:11,26/11/14 13:11,A00002/B00003/C00005/D00997/,female
u12082,13/12/14 11:14,13/12/14 11:14,A00002/B00003/C00006/D17191/,female
u15047,21/12/14 20:59,21/12/14 20:59,A00002/B00005/C00057/D19153/,female
u14600,16/11/14 22:54,16/11/14 22:54,A00002/B00002/C00007/D04771/,female
u22301,08/12/14 9:10,08/12/14 9:10,A00002/B00002/C00003/D14778/,female
u21895,16/12/14 10:45,16/12/14 10:54,A00003/B00012/C00048/D29060/;A00003/B00012/C00048/D29062/;A00003/B00012/C00074/D06588/;A00003/B00012/C00051/D29065/;A00003/B00012/C00051/D25682/;A00003/B00012/C00051/D00154/;A00003/B00012/C00048/D27689/;A00003/B00012/C00048/D00241/;A00003/B00012/C00051/D28288/,male
u17071,22/11/14 8:41,22/11/14 8:42,A00002/B00003/C00006/D00900/;A00002/B00003/C00005/D03126/,female
u19011,26/11/14 23:09,26/11/14 23:11,A00001/B00009/C00038/D13524/;A00001/B00009/C00038/D13526/;A00003/B00036/C00110/D13531/,female
u18895,28/11/14 15:52,28/11/14 15:52,A00002/B00002/C00002/D15413/,female
u12642,07/12/14 11:59,07/12/14 11:59,A00002/B00001/C00075/D19601/,male
u21295,07/12/14 12:00,07/12/14 12:03,A00001/B00001/C00019/D07353/;A00001/B00001/C00019/D20864/;A00001/B00031/C00091/D19225/;A00002/B00003/C00014/D20868/;A00001/B00009/C00032/D20870/,male
u24643,19/12/14 9:32,19/12/14 9:32,A00002/B00007/C00021/D00263/,female
u19983,03/12/14 21:07,03/12/14 21:07,A00001/B00001/C00182/D18102/,male
u15445,18/11/14 16:14,18/11/14 16:16,A00002/B00002/C00081/D07227/;A00002/B00002/C00081/D07234/,female
u14499,01/12/14 6:11,01/12/14 6:12,A00003/B00022/C00028/D16228/;A00003/B00022/C00028/D15774/,female
u18036,15/12/14 19:55,15/12/14 19:55,A00002/B00001/C00059/D28567/,male
u14558,23/11/14 21:07,23/11/14 21:09,A00002/B00003/C00046/D10914/;A00002/B00003/C00014/D10915/,female
u17528,22/12/14 10:11,22/12/14 10:11,A00002/B00003/C00014/D35256/,female
u19735,29/11/14 19:25,29/11/14 19:26,A00002/B00007/C00021/D15889/;A00002/B00007/C00021/D15562/,female
u13712,17/11/14 13:40,17/11/14 13:40,A00004/B00014/C00253/D05550/,male
u19056,12/12/14 11:10,12/12/14 11:13,A00002/B00007/C00098/D01211/;A00002/B00002/C00003/D08707/;A00002/B00002/C00002/D12326/;A00002/B00002/C00002/D24663/,female
u23622,14/12/14 4:00,14/12/14 4:01,A00002/B00017/C00228/D26823/;A00002/B00017/C00228/D26824/,male
u13398,20/12/14 7:29,20/12/14 7:29,A00006/B00024/C00352/D33643/,female
u19872,29/11/14 20:28,29/11/14 20:28,A00002/B00002/C00007/D00211/,female
u19664,08/12/14 10:35,08/12/14 10:36,A00002/B00002/C00009/D22028/;A00002/B00002/C00009/D22030/,female
u24911,22/12/14 8:05,22/12/14 8:05,A00001/B00037/C00113/D35104/,male
u24871,21/12/14 16:06,21/12/14 16:09,A00002/B00004/C00018/D34788/;A00002/B00004/C00018/D03032/,female
u12962,13/12/14 20:05,13/12/14 20:12,A00001/B00015/C00103/D26441/;A00001/B00015/C00103/D17071/;A00001/B00015/C00103/D17047/;A00001/B00015/C00103/D26443/;A00001/B00015/C00103/D26445/;A00001/B00015/C00103/D08919/;A00001/B00015/C00103/D26447/,male
u13777,15/11/14 10:49,15/11/14 10:49,A00002/B00002/C00007/D02478/,female
u15050,19/11/14 17:28,19/11/14 17:28,A00001/B00037/C00135/D07902/,male
u20317,07/12/14 15:31,07/12/14 15:32,A00002/B00003/C00005/D21067/,male
u15913,05/12/14 23:26,05/12/14 23:29,A00002/B00001/C00010/D13030/;A00002/B00001/C00100/D19224/;A00002/B00001/C00059/D19226/,female
u19568,05/12/14 19:18,05/12/14 19:19,A00002/B00007/C00016/D18443/;A00002/B00007/C00024/D18446/,female
u22706,09/12/14 8:35,09/12/14 8:37,A00002/B00003/C00014/D16909/;A00002/B00003/C00014/D23124/;A00002/B00003/C00014/D02458/,female
u20924,13/12/14 21:43,13/12/14 21:43,A00001/B00001/C00019/D26661/,male
u17527,21/12/14 15:58,21/12/14 15:58,A00002/B00003/C00006/D23046/,female
u13425,18/11/14 14:15,18/11/14 14:15,A00003/B00012/C00051/D06972/,female
u16882,27/11/14 19:21,27/11/14 19:26,A00003/B00012/C00048/D10382/;A00003/B00012/C00048/D10364/;A00002/B00003/C00006/D14609/;A00002/B00003/C00006/D14611/;A00002/B00003/C00006/D13709/,female
u16409,22/12/14 16:41,22/12/14 16:41,A00002/B00010/C00095/D23308/,female
u23278,12/12/14 17:23,12/12/14 17:23,A00002/B00001/C00049/D09178/,female
u19321,05/12/14 22:40,05/12/14 22:44,A00003/B00022/C00048/D19082/;A00003/B00022/C00048/D19083/;A00003/B00022/C00048/D19088/;A00003/B00022/C00048/D19048/,female
u12236,22/11/14 19:44,22/11/14 19:46,A00002/B00002/C00007/D10057/;A00002/B00002/C00007/D08698/;A00002/B00002/C00007/D10058/,female
u21505,06/12/14 14:02,06/12/14 14:02,A00003/B00012/C00051/D08297/,female
u18656,18/12/14 9:21,18/12/14 9:21,A00002/B00002/C00022/D31291/,female
u11428,02/12/14 10:16,02/12/14 10:16,A00001/B00001/C00019/D17738/,female
u12737,16/11/14 21:38,16/11/14 21:38,A00001/B00009/C00028/D04592/;A00001/B00009/C00028/D04639/,male
u12740,18/11/14 11:18,18/11/14 11:18,A00001/B00031/C00012/D06080/,male
u18627,05/12/14 21:13,05/12/14 21:13,A00002/B00002/C00007/D18758/,female
u13542,17/12/14 13:40,17/12/14 13:40,A00003/B00022/C00048/D30513/,female
u11476,15/11/14 14:34,15/11/14 14:34,A00002/B00001/C00010/D02823/,female
u16896,21/11/14 20:05,21/11/14 20:10,A00003/B00012/C00051/D08568/;A00003/B00012/C00051/D04037/;A00003/B00012/C00051/D08935/;A00003/B00012/C00051/D08938/,female
u20646,19/12/14 18:19,19/12/14 18:26,A00001/B00001/C00019/D30079/;A00001/B00001/C00001/D33330/;A00001/B00001/C00019/D33331/;A00001/B00001/C00020/D33332/;A00001/B00001/C00001/D33333/;A00001/B00001/C00001/D07777/;A00001/B00001/C00019/D33335/,male
u12238,08/12/14 12:46,08/12/14 12:48,A00002/B00004/C00252/D22242/;A00002/B00004/C00252/D06656/;A00002/B00004/C00252/D22243/,female
u20039,12/12/14 15:50,12/12/14 15:52,A00002/B00002/C00007/D09956/;A00002/B00002/C00002/D05398/,female
u21318,13/12/14 11:26,13/12/14 11:26,A00002/B00007/C00021/D12088/;A00002/B00007/C00021/D09273/;A00002/B00007/C00021/D25878/,female
u13187,29/11/14 17:10,29/11/14 17:10,A00003/B00004/C00089/D15781/,female
u22200,12/12/14 19:38,12/12/14 19:38,A00001/B00001/C00019/D25269/,female
u18789,13/12/14 15:14,13/12/14 15:14,A00002/B00006/C00015/D26009/;A00002/B00006/C00015/D25641/,female
u20716,03/12/14 12:42,03/12/14 12:43,A00002/B00017/C00155/D17969/;A00002/B00017/C00155/D17971/,female
u15668,17/11/14 22:44,17/11/14 22:58,A00002/B00001/C00059/D06284/;A00002/B00001/C00020/D06286/;A00002/B00001/C00020/D06289/;A00002/B00001/C00123/D05484/;A00002/B00001/C00020/D06294/;A00002/B00001/C00059/D04699/;A00002/B00001/C00059/D06299/;A00002/B00001/C00019/D06302/;A00002/B00001/C00059/D01485/;A00002/B00001/C00059/D06305/;A00002/B00001/C00177/D06308/,male
u10065,15/11/14 22:24,15/11/14 22:24,A00002/B00007/C00021/D03428/,female
u11540,17/12/14 12:29,17/12/14 12:29,A00003/B00021/C00055/D30436/,female
u22980,17/12/14 14:16,17/12/14 14:16,A00006/B00024/C00096/D30565/,female
u23429,13/12/14 11:27,13/12/14 11:28,A00002/B00003/C00005/D02537/,male
u23499,13/12/14 15:05,13/12/14 15:05,A00002/B00003/C00006/D11013/,female
u22220,07/12/14 21:19,07/12/14 21:21,A00001/B00009/C00028/D21523/;A00001/B00009/C00032/D21524/;A00001/B00009/C00032/D21529/,male
u10758,17/11/14 11:27,17/11/14 11:27,A00002/B00007/C00023/D05387/,female
u17658,13/12/14 7:41,13/12/14 7:41,A00002/B00017/C00045/D25586/,female
u10576,15/12/14 19:59,15/12/14 19:59,A00002/B00004/C00018/D01572/,female
u18833,18/12/14 14:29,18/12/14 14:29,A00002/B00005/C00058/D29931/,female
u19144,13/12/14 20:52,13/12/14 20:54,A00003/B00036/C00110/D20692/;A00003/B00036/C00110/D20411/,female
u18216,06/12/14 10:19,06/12/14 10:21,A00003/B00012/C00051/D08792/;A00003/B00012/C00051/D00342/,female
u19186,14/12/14 13:25,14/12/14 13:25,A00002/B00004/C00061/D27066/,female
u19249,27/11/14 16:41,27/11/14 16:41,A00002/B00002/C00007/D14534/,female
u11938,18/12/14 10:15,18/12/14 10:16,A00002/B00001/C00059/D01271/;A00002/B00003/C00005/D21332/,female
u19786,07/12/14 16:43,07/12/14 16:43,A00002/B00001/C00049/D21134/,female
u12635,16/11/14 7:46,16/11/14 7:46,A00002/B00007/C00021/D03689/,male
u11922,20/12/14 11:14,20/12/14 11:14,A00002/B00005/C00058/D23015/;A00002/B00005/C00057/D33689/,female
u23359,21/12/14 0:26,21/12/14 0:26,A00001/B00001/C00001/D34446/;A00001/B00001/C00182/D11506/,male
u19305,12/12/14 20:10,12/12/14 20:30,A00001/B00009/C00028/D25309/;A00001/B00001/C00020/D14488/,male
u22873,15/12/14 9:28,15/12/14 9:28,A00002/B00002/C00002/D27714/,female
u22746,13/12/14 19:00,13/12/14 19:00,A00001/B00001/C00182/D23312/,male
u19277,13/12/14 8:50,13/12/14 8:52,A00002/B00003/C00074/D25649/;A00002/B00001/C00059/D21010/;A00003/B00012/C00036/D00931/;A00003/B00012/C00036/D23296/,female
u16221,19/11/14 2:24,19/11/14 2:24,A00005/B00019/C00165/D07606/,female
u11917,17/12/14 17:22,17/12/14 17:26,A00001/B00004/C00066/D30833/;A00001/B00004/C00066/D30834/;A00001/B00004/C00066/D30827/;A00001/B00004/C00066/D13467/,male
u23044,12/12/14 23:06,12/12/14 23:08,A00002/B00017/C00152/D25526/;A00002/B00017/C00152/D25528/,female
u12360,19/12/14 12:36,19/12/14 12:36,A00002/B00017/C00045/D32807/,female
u13674,14/12/14 19:07,14/12/14 19:08,A00001/B00004/C00066/D13461/;A00001/B00004/C00066/D27287/,male
u10915,08/12/14 9:48,08/12/14 9:49,A00002/B00002/C00004/D01076/;A00002/B00002/C00007/D00266/,female
u13880,22/11/14 9:17,22/11/14 9:18,A00003/B00012/C00074/D08218/,female
u12563,17/11/14 10:20,17/11/14 10:20,A00002/B00006/C00030/D05220/,female
u23135,16/12/14 21:23,16/12/14 21:23,A00002/B00003/C00014/D23951/,female
u24745,19/12/14 21:15,19/12/14 21:37,A00002/B00001/C00059/D33518/;A00002/B00001/C00059/D18352/;A00002/B00001/C00059/D27499/,female
u20101,06/12/14 21:25,06/12/14 21:25,A00001/B00031/C00063/D20370/,female
u19436,28/11/14 15:24,28/11/14 15:24,A00004/B00014/C00229/D15351/,male
u16306,21/11/14 14:17,21/11/14 14:17,A00002/B00002/C00004/D00980/,female
u11165,16/11/14 11:04,16/11/14 11:04,A00002/B00002/C00003/D03813/,female
u23206,17/12/14 15:41,17/12/14 15:41,A00002/B00002/C00007/D30614/,female
u22858,09/12/14 12:46,09/12/14 12:50,A00002/B00002/C00007/D22297/;A00002/B00002/C00007/D00266/;A00002/B00002/C00007/D00211/;A00002/B00002/C00007/D23582/,female
u12030,18/11/14 22:37,18/11/14 22:39,A00001/B00031/C00063/D07516/;A00001/B00031/C00063/D07517/,female
u16126,22/12/14 16:11,22/12/14 16:11,A00001/B00001/C00019/D00138/,male
u10063,14/11/14 20:19,14/11/14 20:19,A00002/B00007/C00021/D01678/,female
u10957,18/12/14 18:06,18/12/14 18:06,A00002/B00007/C00021/D23920/,female
u23867,15/12/14 14:00,15/12/14 14:01,A00005/B00062/C00411/D28082/,male
u11132,17/12/14 17:10,17/12/14 17:10,A00002/B00004/C00018/D25899/,female
u24458,18/12/14 13:15,18/12/14 13:19,A00002/B00005/C00058/D14877/;A00002/B00002/C00007/D08940/;A00002/B00005/C00058/D22896/;A00002/B00002/C00007/D28944/,female
u14741,16/11/14 13:36,16/11/14 13:45,A00002/B00001/C00010/D03999/;A00002/B00001/C00010/D04002/;A00002/B00001/C00010/D04003/;A00002/B00001/C00010/D04008/;A00002/B00001/C00059/D03994/,female
u17030,22/11/14 7:25,22/11/14 7:26,A00002/B00002/C00002/D09244/;A00002/B00002/C00002/D09245/,female
u20046,12/12/14 11:23,12/12/14 11:25,A00003/B00012/C00051/D03322/;A00003/B00012/C00051/D00598/,female
u16593,25/11/14 9:30,25/11/14 9:32,A00002/B00002/C00003/D11225/;A00002/B00002/C00003/D11228/,male
u20198,09/12/14 10:53,09/12/14 10:53,A00003/B00004/C00197/D23391/;A00003/B00004/C00197/D23392/,female
u13998,06/12/14 13:51,06/12/14 13:51,A00001/B00001/C00001/D19822/;A00002/B00001/C00059/D19823/,male
u21216,05/12/14 22:06,05/12/14 22:06,A00001/B00001/C00029/D18957/,male
u23570,13/12/14 20:36,13/12/14 20:36,A00003/B00022/C00048/D26394/,female
u24765,22/12/14 13:42,22/12/14 13:42,A00003/B00022/C00036/D25767/,female
u20286,14/12/14 18:46,14/12/14 18:46,A00003/B00020/C00052/D27278/,female
u21406,08/12/14 0:45,08/12/14 0:45,A00002/B00003/C00005/D20430/,female
u16655,22/12/14 13:12,22/12/14 13:12,A00002/B00002/C00002/D33986/,female
u10195,01/12/14 11:58,01/12/14 11:58,A00002/B00002/C00002/D16596/,female
u19815,29/11/14 17:27,29/11/14 19:23,A00002/B00001/C00059/D15794/;A00002/B00001/C00059/D03187/,female
u11479,19/11/14 9:25,19/11/14 9:25,A00002/B00005/C00013/D07718/,female
u16969,13/12/14 20:55,13/12/14 20:55,A00002/B00017/C00045/D26552/,female
u24267,17/12/14 14:42,17/12/14 14:42,A00002/B00001/C00100/D28506/,female
u15731,18/11/14 6:56,18/11/14 6:59,A00002/B00002/C00009/D06388/;A00002/B00002/C00009/D06217/;A00002/B00002/C00009/D06389/;A00002/B00002/C00009/D06391/,female
u16911,18/12/14 20:53,18/12/14 20:53,A00002/B00007/C00016/D30453/;A00002/B00007/C00016/D32277/,female
u16057,18/11/14 17:52,18/11/14 17:54,A00005/B00019/C00164/D07349/;A00005/B00019/C00164/D07344/,female
u20087,17/12/14 10:07,17/12/14 10:07,A00002/B00002/C00081/D19604/,female
u13162,12/12/14 10:28,12/12/14 10:28,A00002/B00016/C00044/D24610/,female
u15412,19/12/14 21:21,19/12/14 21:21,A00002/B00006/C00015/D33525/,female
u21754,13/12/14 8:15,13/12/14 8:15,A00003/B00012/C00051/D07492/,female
u10815,17/11/14 9:11,17/11/14 9:13,A00003/B00012/C00032/D05069/;A00003/B00028/C00179/D05073/,female
u11552,18/12/14 13:56,18/12/14 14:04,A00003/B00012/C00051/D25682/;A00003/B00012/C00051/D22804/;A00003/B00012/C00051/D00153/;A00003/B00012/C00051/D00599/;A00003/B00012/C00051/D31529/;A00003/B00012/C00051/D18017/,female
u21120,13/12/14 14:08,13/12/14 14:08,A00002/B00007/C00021/D19273/,female
u18420,18/12/14 15:40,18/12/14 15:40,A00002/B00001/C00150/D03815/,female
u15903,25/11/14 14:49,25/11/14 14:50,A00002/B00001/C00010/D11611/;A00002/B00001/C00010/D11614/,female
u20187,15/12/14 14:50,15/12/14 14:54,A00002/B00002/C00004/D28174/;A00002/B00002/C00002/D28176/;A00002/B00002/C00007/D28182/,female
u10642,25/11/14 10:12,25/11/14 10:23,A00003/B00022/C00048/D11277/;A00003/B00022/C00048/D05635/;A00003/B00022/C00048/D11281/;A00003/B00022/C00048/D11283/;A00003/B00022/C00048/D11284/;A00003/B00022/C00048/D11285/;A00003/B00022/C00048/D01370/;A00003/B00022/C00048/D11286/;A00003/B00022/C00048/D11288/;A00003/B00022/C00048/D09020/,female
u10526,03/12/14 20:34,03/12/14 20:41,A00005/B00065/C00012/D18087/;A00005/B00019/C00133/D18086/;A00002/B00017/C00152/D02796/;A00005/B00019/C00133/D17885/;A00005/B00019/C00012/D00149/,female
u17339,22/11/14 16:38,22/11/14 16:40,A00002/B00002/C00002/D09853/;A00002/B00002/C00002/D00550/;A00002/B00002/C00002/D04736/,female
u24909,22/12/14 4:03,22/12/14 4:03,A00001/B00015/C00021/D35081/;A00001/B00015/C00021/D22846/,male
u21732,06/12/14 11:58,06/12/14 11:58,A00002/B00003/C00014/D19694/;A00002/B00003/C00014/D19698/,female
u13436,15/11/14 7:22,15/11/14 7:26,A00001/B00015/C00041/D02133/;A00001/B00015/C00043/D01311/,male
u21419,08/12/14 3:15,08/12/14 3:15,A00002/B00003/C00005/D21690/,female
u16078,18/11/14 17:59,18/11/14 17:59,A00001/B00009/C00031/D07354/,male
u21425,08/12/14 4:01,08/12/14 4:01,A00002/B00003/C00005/D20430/,female
u13172,22/12/14 0:13,22/12/14 0:13,A00002/B00003/C00006/D35070/,female
u24456,18/12/14 12:55,18/12/14 12:56,A00002/B00005/C00058/D14877/;A00002/B00002/C00007/D08940/;A00002/B00005/C00058/D22896/,female
u13316,14/11/14 22:55,14/11/14 22:58,A00002/B00002/C00007/D01782/;A00002/B00002/C00007/D01982/,female
u13068,19/11/14 21:04,19/11/14 21:04,A00002/B00002/C00002/D08024/,female
u24114,22/12/14 13:53,22/12/14 13:55,A00003/B00012/C00051/D06008/;A00003/B00012/C00051/D05509/,female
u24241,17/12/14 16:39,17/12/14 16:42,A00002/B00002/C00003/D30792/;A00002/B00002/C00003/D25988/;A00002/B00002/C00003/D08051/;A00002/B00002/C00003/D18238/,male
u22936,16/12/14 16:01,16/12/14 16:08,A00002/B00003/C00006/D02952/;A00002/B00003/C00046/D04910/;A00002/B00003/C00046/D29571/;A00002/B00003/C00046/D18904/,female
u24767,20/12/14 10:03,20/12/14 10:03,A00003/B00021/C00064/D33760/;A00003/B00021/C00055/D33745/,female
u11440,15/12/14 10:44,15/12/14 10:44,A00002/B00003/C00005/D27798/,female
u22445,17/12/14 23:08,17/12/14 23:10,A00002/B00004/C00018/D31122/;A00002/B00004/C00018/D31123/;A00002/B00004/C00018/D31126/,female
u22915,18/12/14 11:14,18/12/14 11:14,A00002/B00001/C00059/D31511/,female
u14555,23/11/14 2:38,23/11/14 2:38,A00003/B00028/C00179/D07273/,female
u20401,12/12/14 13:14,12/12/14 13:14,A00002/B00003/C00005/D24827/,female
u21127,07/12/14 15:31,07/12/14 15:32,A00002/B00001/C00123/D01401/;A00002/B00001/C00123/D21068/,female
